RFC status,Topic 1,Topic 2,RFC,Title,Obsoleted by,
Experimental,DNSSEC - Others,,4956,DNS Security (DNSSEC) Opt-In,
Proposed Standard,DNSSEC - Others,,4955,DNS Security (DNSSEC) Experiments,
Draft Standard,Name Registration & Protocols,,4934,Extensible Provisioning Protocol (EPP) Transport over TCP,5734
Draft Standard,Name Registration & Protocols,,4933,Extensible Provisioning Protocol (EPP) Contact Mapping ,5733
Draft Standard,Name Registration & Protocols,,4932,Extensible Provisioning Protocol (EPP) Host Mapping,5732
Draft Standard,Name Registration & Protocols,,4931,Extensible Provisioning Protocol (EPP) Domain Name Mapping,5731
Draft Standard,Name Registration & Protocols,,4930,Extensible Provisioning Protocol (EPP),5730
Informational,Servicing,,4892,Requirements for a Mechanism Identifying a Name Server Instance,
Proposed Standard,Email Application,,4871,DomainKeys Identified Mail (DKIM) Signatures,6376
Historic,Email Application,,4870,Domain-Based Email Authentication Using Public Keys Advertised in the DNS (DomainKeys),4871
Proposed Standard,ENUM/DDDS,,4848,Domain-Based Application Service Location Using URIs and the Dynamic Delegation Discovery Service (DDDS),
Informational,Other Applications,,4795,Link-Local Multicast Name Resolution (LLMNR),
Informational,ENUM/DDDS,,4725,ENUM Validation Architecture,
Informational,IDNA/Globalization,Name Registration & Protocols,4713,Registration and Administration Recommendations for Chinese Domain Names,
Proposed Standard,IPv6 Application,,4704,The Dynamic Host Configuration Protocol for IPv6 (DHCPv6) Client Fully Qualified Domain Name (FQDN) Option,
Proposed Standard,Other Applications,Flaws/Errors & Reporting,4703,Resolution of Fully Qualified Domain Name (FQDN) Conflicts among Dynamic Host Configuration Protocol (DHCP) Clients,
Proposed Standard,Other Applications,,4702,The Dynamic Host Configuration Protocol (DHCP) Client Fully Qualified Domain Name (FQDN) Option,
